area,size_marla,bedrooms,bathrooms,property_age,has_garage,has_servant_quarter,has_basement,corner_plot,near_park,gated_society,property_type,price_lakhs
Johar Town,7.1,4,4,8,0,0,0,0,1,0,House,701.74
Township,7.3,4,4,18,0,0,0,1,1,0,House,458.99
Wapda Town,20.3,5,4,12,0,1,0,0,0,0,Upper Portion,1959.17
Valencia,6.7,4,3,1,0,1,1,0,0,1,House,1043.12
DHA Phase 7-9,6.6,4,3,2,0,0,1,0,0,1,Upper Portion,775.43
DHA Phase 7-9,13.8,5,5,2,0,1,0,1,1,1,House,2081.58
DHA Phase 4-6,9.9,4,3,3,0,0,0,0,1,1,Upper Portion,1880.95
Faisal Town,13.9,5,5,12,1,1,1,0,1,0,House,976.76
Valencia,5.2,4,4,8,0,1,1,0,0,1,House,690.68
Iqbal Town,9.6,3,2,2,0,1,1,0,1,0,House,768.06
DHA Phase 1-3,4.5,3,3,0,0,0,0,0,0,1,Flat,919.48
Shahdara,4.9,3,2,2,0,0,0,0,0,0,Lower Portion,194.83
Allama Iqbal Town,20.2,7,7,35,1,1,0,0,0,0,House,1484.05
Gulberg I-II,4.7,3,2,8,1,1,1,0,1,0,Upper Portion,800.65
DHA Phase 7-9,10.1,4,3,25,1,1,1,1,1,1,Upper Portion,1531.74
DHA Phase 7-9,9.8,4,3,25,0,0,0,0,0,1,House,1344.23
Gulberg III-V,7.4,3,2,8,1,1,0,0,0,0,Upper Portion,1102.95
Bahria Town,20.4,7,7,18,1,1,0,0,0,1,Upper Portion,2387.88
Johar Town,4.8,3,2,2,0,0,1,0,0,0,House,554.37
Gulberg III-V,13.7,4,4,18,1,1,0,0,0,0,Upper Portion,1921.04
Valencia,39.9,5,4,3,1,1,0,0,1,1,House,5770.16
DHA Phase 7-9,9.7,4,3,25,1,0,0,1,1,1,House,1156.58
Gulberg III-V,20.2,7,6,1,1,1,0,0,0,0,House,2374.03
Model Town,5.3,3,3,25,1,0,1,0,0,0,Lower Portion,531.54
Bahria Town,10.2,5,4,1,1,1,0,0,0,1,House,928.78
Allama Iqbal Town,7.3,3,2,25,1,0,0,0,0,0,House,578.42
Gulberg I-II,13.9,5,5,5,0,1,0,0,0,0,Upper Portion,2543.97
Bahria Town,39.7,6,5,18,1,1,0,0,0,1,House,5132.76
Valencia,7.2,4,4,8,0,1,1,1,1,1,House,859.09
DHA Phase 1-3,13.9,5,4,5,1,1,0,1,0,1,House,2892.62
Valencia,7.2,3,2,12,0,0,0,0,0,1,Lower Portion,840.73
DHA Phase 7-9,9.8,4,3,35,0,0,0,0,0,1,House,1320.56
DHA Phase 4-6,9.6,3,3,0,1,0,1,1,0,1,Upper Portion,1780.27
Township,40.5,6,5,35,1,1,1,0,0,0,House,2093.73
Shahdara,13.7,5,4,12,1,1,1,1,0,0,House,961.04
Allama Iqbal Town,7.5,3,2,25,0,0,1,0,0,0,Upper Portion,605.34
Gulberg III-V,5.5,3,3,5,1,0,0,0,1,0,Upper Portion,759.96
DHA Phase 4-6,7.3,4,4,8,1,0,1,0,0,1,House,1121.37
Iqbal Town,7.2,3,3,25,0,0,0,1,0,0,Upper Portion,595.13
Johar Town,7.1,4,4,8,0,1,1,0,0,0,Upper Portion,746.05
DHA Phase 4-6,20.4,6,6,12,1,0,0,0,0,1,House,3851.12
Bahria Town,9.8,3,3,0,0,0,0,0,0,1,Lower Portion,946.36
DHA Phase 1-3,10.0,3,2,2,1,1,0,0,0,1,Upper Portion,1934.19
Samanabad,5.1,4,3,12,0,0,0,0,1,0,Flat,261.68
Gulberg III-V,19.9,5,4,18,1,1,0,0,1,0,House,3070.06
Iqbal Town,13.9,5,4,12,1,1,0,0,1,0,House,1239.67
Model Town,4.8,2,2,1,0,0,0,0,1,0,House,818.85
Bahria Town,14.1,4,4,8,0,1,0,0,0,1,House,1330.94
Lake City,10.4,5,5,5,1,1,0,0,0,1,House,1384.51
DHA Phase 7-9,4.7,3,3,8,1,0,1,0,0,1,House,559.42
Shahdara,10.4,5,4,25,1,1,0,0,0,0,House,439.09
Allama Iqbal Town,10.2,4,4,25,1,1,1,0,0,0,House,629.43
Township,7.3,4,3,1,1,0,0,0,0,0,Lower Portion,427.58
Samanabad,20.1,6,6,25,1,0,0,0,0,0,House,1055.72
Valencia,20.3,6,5,8,1,1,0,1,0,1,House,2106.99
Samanabad,13.5,4,4,18,1,0,0,0,1,0,House,863.2
DHA Phase 4-6,10.3,4,3,1,1,1,0,0,0,1,House,1873.59
DHA Phase 7-9,9.5,3,3,18,0,1,0,0,0,1,House,1298.4
DHA Phase 1-3,14.4,4,3,3,1,1,0,0,0,1,House,2663.58
Model Town,10.5,4,4,8,1,0,0,1,1,0,House,1775.49
Johar Town,4.8,3,2,0,1,0,0,0,1,0,Upper Portion,507.14
Gulberg III-V,9.7,3,2,2,0,0,0,0,0,0,House,1556.82
Allama Iqbal Town,20.3,6,5,1,0,0,1,0,0,0,House,1566.89
Model Town,9.8,3,2,3,1,0,0,0,0,0,House,1139.49
Gulberg III-V,5.4,4,4,1,0,1,0,1,0,0,House,909.05
Lake City,19.6,5,5,18,1,1,0,1,0,1,House,1986.97
DHA Phase 7-9,6.6,3,3,0,0,1,0,0,0,1,House,930.11
Allama Iqbal Town,7.5,3,2,12,0,1,0,1,0,0,Flat,586.49
DHA Phase 4-6,7.2,3,3,1,0,0,0,0,0,1,Upper Portion,922.93
Shahdara,7.3,4,3,35,0,1,0,1,0,0,Lower Portion,253.18
Wapda Town,13.8,5,5,35,1,1,1,0,1,0,Upper Portion,1439.12
Gulberg I-II,10.2,5,4,3,1,1,1,0,1,0,House,1686.38
DHA Phase 1-3,7.1,4,4,12,0,0,1,0,0,1,Upper Portion,1245.67
Allama Iqbal Town,20.1,7,6,0,1,1,1,0,1,0,House,1611.94
Iqbal Town,20.2,5,4,35,1,1,1,0,0,0,House,1676.57
Wapda Town,20.1,7,7,12,1,1,1,0,0,0,House,2042.32
Wapda Town,6.9,4,4,0,1,0,1,0,0,0,House,713.14
DHA Phase 4-6,9.8,4,4,5,1,1,0,0,0,1,Upper Portion,1697.6
Model Town,40.3,5,4,0,1,1,1,0,0,0,House,4890.17
DHA Phase 4-6,13.7,5,4,5,0,0,0,0,0,1,House,2366.75
Faisal Town,5.2,3,2,18,0,0,0,0,0,0,House,466.64
Garden Town,4.7,3,3,8,0,0,0,0,0,0,Upper Portion,541.94
Model Town,10.1,5,4,5,1,1,0,0,0,0,House,1546.88
DHA Phase 4-6,20.2,5,5,1,0,0,0,0,0,1,House,3362.71
Gulberg III-V,9.7,4,3,3,0,0,0,0,0,0,House,1558.51
Model Town,9.6,4,4,1,0,0,1,1,0,0,House,1358.97
Wapda Town,4.6,3,2,25,0,1,0,0,0,0,Flat,406.28
Garden Town,14.1,4,3,1,1,0,0,0,0,0,House,1878.24
Samanabad,20.3,6,6,12,1,0,0,0,0,0,House,1449.73
Bahria Town,9.5,4,3,5,0,0,0,0,0,1,Upper Portion,1125.22
DHA Phase 4-6,14.2,4,3,3,1,1,0,0,0,1,Upper Portion,2517.25
Iqbal Town,39.8,5,5,12,1,0,1,1,0,0,House,3320.0
Wapda Town,7.0,4,3,8,0,1,1,0,0,0,Upper Portion,796.35
Lake City,10.4,5,5,8,1,1,0,0,1,1,House,1297.16
Wapda Town,6.8,4,4,12,0,0,0,0,0,0,House,661.82
Bahria Town,20.0,4,3,8,0,1,1,1,1,1,House,2303.76
Bahria Town,9.5,3,2,5,0,0,0,0,0,1,Flat,1215.41
Johar Town,13.6,5,4,12,1,1,1,0,0,0,House,1308.55
DHA Phase 1-3,19.8,4,4,18,1,1,0,0,0,1,Upper Portion,2866.01
DHA Phase 4-6,9.5,4,3,0,1,0,0,0,0,1,Upper Portion,1624.27
DHA Phase 1-3,20.1,5,5,8,1,0,0,0,1,1,House,4312.83
Garden Town,9.9,4,3,0,0,1,1,0,0,0,Lower Portion,1492.16
Model Town,7.0,3,2,2,0,0,0,0,0,0,Flat,915.32
Bahria Town,13.7,4,4,12,1,1,0,1,1,1,Upper Portion,1615.45
Samanabad,19.8,5,4,25,1,1,1,0,0,0,House,1301.97
Gulberg III-V,7.2,4,3,25,0,0,1,0,0,0,Upper Portion,991.45
Johar Town,20.5,6,5,0,1,1,0,0,1,0,House,2235.83
Wapda Town,19.6,4,3,8,0,1,0,0,0,0,House,1805.39
Gulberg I-II,7.4,4,3,12,0,0,1,0,0,0,Upper Portion,1421.86
DHA Phase 4-6,40.1,5,5,1,1,1,0,0,1,1,House,7219.32
Gulberg III-V,5.1,3,2,18,0,0,0,1,0,0,House,829.66
DHA Phase 7-9,7.0,3,3,18,0,0,1,0,0,1,Upper Portion,918.83
Township,6.6,4,3,35,0,0,0,0,0,0,House,440.07
Allama Iqbal Town,19.6,4,3,0,0,1,1,0,0,0,House,1563.48
Garden Town,14.1,4,4,2,1,1,1,0,1,0,Upper Portion,1871.4
Faisal Town,6.8,3,2,25,1,0,1,1,0,0,House,536.21
Allama Iqbal Town,10.4,4,3,18,1,1,0,0,1,0,Upper Portion,762.84
DHA Phase 7-9,13.9,5,5,25,1,1,0,0,0,1,Upper Portion,1885.89
Samanabad,4.6,2,2,0,0,0,1,0,0,0,House,287.61
Lake City,20.2,6,5,12,1,0,0,0,0,1,Upper Portion,2096.13
Allama Iqbal Town,19.8,4,4,12,1,1,0,0,0,0,House,1444.89
Samanabad,10.0,4,4,0,1,1,1,0,0,0,House,688.08
Model Town,40.2,6,6,8,1,1,0,1,0,0,House,4211.81
DHA Phase 4-6,10.4,5,5,12,1,0,0,0,0,1,House,1753.12
Gulberg I-II,40.3,5,4,2,1,0,0,1,0,0,House,6593.65
Johar Town,14.2,5,4,3,1,1,0,0,0,0,House,1459.03
Allama Iqbal Town,14.2,4,4,12,1,0,0,1,0,0,House,1222.99
Faisal Town,7.4,4,3,8,1,0,0,0,0,0,House,786.14
DHA Phase 1-3,19.8,5,5,25,1,0,1,0,0,1,Upper Portion,3963.72
Bahria Town,9.5,3,2,5,0,0,0,0,1,1,House,952.71
Johar Town,6.8,4,3,3,0,0,0,0,0,0,Flat,654.47
Gulberg I-II,4.7,3,3,35,1,0,1,0,0,0,Flat,855.95
DHA Phase 4-6,10.2,5,5,35,1,1,0,1,0,1,Upper Portion,1813.19
Model Town,10.1,4,3,0,1,1,0,1,0,0,House,1581.96
Township,14.1,4,3,25,0,1,0,0,1,0,House,800.7
Model Town,19.5,4,3,1,0,1,1,0,1,0,Upper Portion,2481.43
Bahria Town,5.2,3,3,0,0,0,0,1,0,1,Lower Portion,752.53
Iqbal Town,13.8,5,4,3,1,1,0,0,0,0,House,1257.38
Model Town,7.2,4,4,3,0,0,1,0,0,0,House,877.08
Shahdara,20.1,7,7,25,1,0,1,0,0,0,House,1178.28
Shahdara,19.8,4,4,18,1,0,0,0,1,0,House,783.42
